Year;LakeLevel;Precip;Precip_1;IceCover;IceCover_1;IceCover_2;IceCover_3;IceCover_4;IceCover_5
1978;176.5908333;733.65;870.97;95.8;95;52.5;55.1;61.4;66.7
1979;176.7941667;808.28;733.65;96.4;95.8;95;52.5;55.1;61.4
1980;176.8033333;780.28;808.28;70.3;96.4;95.8;95;52.5;55.1
1981;176.6983333;802.49;780.28;93.8;70.3;96.4;95.8;95;52.5
1982;176.5983333;858.65;802.49;93.3;93.8;70.3;96.4;95.8;95
1983;176.8333333;919.45;858.65;31.8;93.3;93.8;70.3;96.4;95.8
1984;176.895;886.73;919.45;77.6;31.8;93.3;93.8;70.3;96.4
1985;177.1266667;1033.17;886.73;87.4;77.6;31.8;93.3;93.8;70.3
1986;177.2925;941.87;1033.17;73.5;87.4;77.6;31.8;93.3;93.8
1987;176.97;785.78;941.87;43.5;73.5;87.4;77.6;31.8;93.3
1988;176.5641667;855.94;785.78;60.1;43.5;73.5;87.4;77.6;31.8
1989;176.4008333;720.02;855.94;76.3;60.1;43.5;73.5;87.4;77.6
1990;176.35;962.24;720.02;73.8;76.3;60.1;43.5;73.5;87.4
1991;176.4691667;935.37;962.24;43.8;73.8;76.3;60.1;43.5;73.5
1992;176.4791667;889.27;935.37;69.9;43.8;73.8;76.3;60.1;43.5
1993;176.6958333;842.56;889.27;78.3;69.9;43.8;73.8;76.3;60.1
1994;176.6783333;910.35;842.56;96.9;78.3;69.9;43.8;73.8;76.3
1995;176.5275;881.73;910.35;41.7;96.9;78.3;69.9;43.8;73.8
1996;176.6541667;968.58;881.73;98.2;41.7;96.9;78.3;69.9;43.8
1997;176.9841667;818.8;968.58;65.3;98.2;41.7;96.9;78.3;69.9
1998;176.7166667;767.63;818.8;28.6;65.3;98.2;41.7;96.9;78.3
1999;176.2358333;772.97;767.63;36;28.6;65.3;98.2;41.7;96.9
2000;175.9783333;902.6;772.97;41.9;36;28.6;65.3;98.2;41.7
2001;175.9508333;902.8;902.6;45.7;41.9;36;28.6;65.3;98.2
2002;176.1183333;796.45;902.8;26.1;45.7;41.9;36;28.6;65.3
2003;175.8916667;871.91;796.45;96.2;26.1;45.7;41.9;36;28.6
2004;176.1108333;912.24;871.91;64.5;96.2;26.1;45.7;41.9;36
2005;176.09;826.46;912.24;58.9;64.5;96.2;26.1;45.7;41.9
2006;176.0158333;987.31;826.46;32.2;58.9;64.5;96.2;26.1;45.7
2007;175.9433333;771.64;987.31;71.4;32.2;58.9;64.5;96.2;26.1
2008;176.005;1038.89;771.64;59.5;71.4;32.2;58.9;64.5;96.2
2009;176.2583333;891.95;1038.89;85.1;59.5;71.4;32.2;58.9;64.5
2010;176.1108333;782.06;891.95;37;85.1;59.5;71.4;32.2;58.9
2011;176.0366667;997.21;782.06;63.8;37;85.1;59.5;71.4;32.2
2012;175.9166667;782.29;997.21;23.1;63.8;37;85.1;59.5;71.4
2013;175.895;1020;782.29;47.8;23.1;63.8;37;85.1;59.5
2014;176.3016667;949.08;1020;96.1;47.8;23.1;63.8;37;85.1
2015;176.5925;798.4;949.08;96.4;96.1;47.8;23.1;63.8;37
2016;176.7;882.77;798.4;48;96.4;96.1;47.8;23.1;63.8
2017;176.7708333;1027.77;882.77;35.4;48;96.4;96.1;47.8;23.1
2018;176.8633333;906.3;1027.77;81.4;35.4;48;96.4;96.1;47.8
2019;177.1375;997.02;906.3;95.7;81.4;35.4;48;96.4;96.1
2020;177.3016667;896.93;997.02;32.1;95.7;81.4;35.4;48;96.4
